soc_code,occupation_title,target_domain,description,Realistic,Investigative,Artistic,Social,Enterprising,Conventional,Critical Thinking,Programming,Active Listening,Reading Comprehension,Speaking,Writing,Complex Problem Solving,Decision Making,Deductive Reasoning,Inductive Reasoning,Problem Sensitivity,Oral Comprehension,Mathematical Reasoning,Information Ordering,Visualization,Selective Attention,Computers and Electronics,Mathematics,Engineering and Technology,Business,Psychology,Education and Training,Medicine and Health,Communications
11-1011.03,Chief Sustainability Officers,Management,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",2.78,6.68,3.05,4.89,9.97,6.42,7.87,1.0,8.13,7.68,8.03,8.36,1.0,1.12,7.99,7.84,7.94,8.33,5.97,7.3,5.3,6.65,6.14,5.94,5.82,8.18,5.75,6.78,2.48,7.21
11-1011.03,Chief Sustainability Officers,Management,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",2.67,6.9,3.84,5.51,9.63,6.86,8.02,1.27,7.85,7.58,8.36,8.4,1.0,1.0,7.36,7.44,7.3,7.53,5.15,7.27,5.77,6.0,5.96,5.62,6.3,8.68,5.9,6.59,2.58,7.21
11-1011.03,Chief Sustainability Officers,Management,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",3.11,6.55,3.26,4.64,9.41,6.12,8.13,1.0,7.69,8.33,8.09,8.35,1.3,1.34,7.9,8.17,7.67,8.27,5.97,7.16,5.87,6.65,5.91,5.79,5.81,8.16,6.33,7.03,2.81,6.94
11-1011.03,Chief Sustainability Officers,Management,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",2.45,6.51,3.71,5.38,9.25,6.66,7.95,1.0,7.73,7.77,8.02,7.87,1.0,1.48,7.4,7.39,7.56,8.18,5.51,7.12,5.07,6.43,5.47,5.88,5.48,8.5,6.2,6.95,3.06,7.13
11-1011.03,Chief Sustainability Officers,Management,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",2.7,7.0,3.3,5.56,9.74,6.46,8.23,1.33,8.06,7.89,8.34,8.5,1.0,1.0,7.77,7.84,7.4,7.92,5.88,7.32,5.45,5.8,5.98,5.76,5.56,8.77,5.82,7.12,2.39,7.42
11-1011.03,Chief Sustainability Officers,Management,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",3.22,6.78,3.81,4.95,9.66,6.78,8.39,1.49,8.04,8.01,7.73,8.04,1.08,1.3,7.97,7.81,7.82,8.45,5.78,7.36,5.57,6.22,5.53,5.89,5.45,8.49,5.87,7.12,2.99,7.13
11-1011.03,Chief Sustainability Officers,Management,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",2.71,7.3,3.15,5.28,9.3,6.3,8.71,1.0,7.93,8.31,7.53,8.28,1.0,1.08,7.51,7.95,8.02,8.5,5.9,7.0,5.31,6.23,5.79,6.21,5.42,8.64,6.21,6.79,2.81,7.03
11-1011.03,Chief Sustainability Officers,Management,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",2.49,6.72,3.44,5.07,9.04,6.64,8.64,1.0,8.04,7.57,7.7,7.83,1.0,1.0,7.35,7.71,7.65,8.39,5.26,7.03,5.32,5.82,5.78,5.92,5.99,8.49,5.51,6.67,2.63,7.23
11-1011.03,Chief Sustainability Officers,Management,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",2.96,6.41,3.44,4.93,9.46,6.21,8.53,1.39,7.66,7.72,8.1,8.5,1.0,1.0,8.08,7.85,7.6,8.33,5.29,7.04,5.81,5.78,6.36,5.52,6.29,8.47,5.82,6.73,2.25,7.19
11-1011.03,Chief Sustainability Officers,Management,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",2.96,6.38,3.06,4.7,9.62,6.72,7.97,1.04,8.41,8.44,7.87,8.59,1.0,1.38,7.34,8.0,7.28,8.14,5.03,7.5,5.05,5.98,5.81,5.49,6.03,8.78,5.42,7.3,3.04,7.4
11-1021.00,General and Operations Managers,Management,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",2.97,3.11,1.45,4.42,9.81,7.86,8.03,1.25,7.99,8.29,8.28,7.07,1.0,1.0,8.17,6.71,8.09,8.3,5.3,7.18,5.56,5.54,5.12,6.4,5.52,8.81,4.62,5.35,2.04,5.04
11-1021.00,General and Operations Managers,Management,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",3.56,3.81,1.61,5.27,9.52,7.67,7.67,1.0,8.15,7.82,8.3,7.35,1.48,1.0,7.83,7.43,7.92,7.83,5.59,6.8,5.7,6.06,5.35,6.24,5.79,8.25,5.01,5.89,2.81,5.18
11-1021.00,General and Operations Managers,Management,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",3.47,3.72,1.69,5.1,10.0,7.43,7.62,1.0,7.7,8.34,8.12,6.75,1.12,1.24,7.55,7.38,7.69,8.47,5.66,6.6,5.68,5.35,5.63,6.25,5.36,8.29,4.9,5.98,1.95,5.21
11-1021.00,General and Operations Managers,Management,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",3.3,3.45,2.11,5.06,10.0,7.57,7.93,1.0,7.94,7.78,7.72,7.42,1.02,1.0,8.22,7.34,7.37,8.08,5.49,6.93,5.75,6.09,5.37,6.64,5.67,8.52,5.13,5.25,2.49,4.64
11-1021.00,General and Operations Managers,Management,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",3.06,3.87,1.95,4.94,10.0,7.32,7.71,1.05,7.72,7.9,8.3,6.84,1.42,1.0,7.87,7.42,7.7,7.53,5.7,6.53,5.48,6.23,5.82,6.54,5.9,8.49,5.17,5.63,2.48,4.84
11-1021.00,General and Operations Managers,Management,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",3.1,3.17,2.02,4.84,9.96,7.24,7.88,1.0,7.6,7.83,7.52,6.77,1.18,1.0,7.52,7.22,7.85,8.3,5.73,7.24,5.38,5.83,5.52,6.64,5.97,8.48,4.92,5.14,2.28,4.55
11-1021.00,General and Operations Managers,Management,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",2.75,3.0,2.18,5.04,10.0,7.15,7.92,1.0,8.15,7.65,8.47,7.49,1.49,1.14,7.44,6.97,8.05,7.7,6.25,7.15,5.93,5.52,5.81,6.32,5.53,8.47,4.66,5.83,2.0,4.7
11-1021.00,General and Operations Managers,Management,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",3.38,3.26,1.99,4.56,10.0,7.98,7.7,1.0,8.29,8.14,7.65,7.09,1.0,1.4,7.75,7.49,7.39,7.78,5.27,7.0,5.47,5.68,5.53,6.04,5.34,8.14,4.95,5.1,2.62,4.74
11-1021.00,General and Operations Managers,Management,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",3.53,3.57,1.75,4.87,10.0,7.67,7.47,1.0,8.44,7.77,8.27,7.33,1.0,1.27,8.08,6.56,7.86,8.13,5.56,7.2,5.15,6.2,4.97,5.8,6.14,8.02,5.21,5.78,2.17,5.25
11-1021.00,General and Operations Managers,Management,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",2.66,3.04,2.15,4.89,10.0,7.32,8.21,1.39,7.72,8.15,8.34,6.78,1.31,1.03,8.08,7.35,7.58,7.75,5.75,7.11,5.51,5.26,5.66,6.17,5.68,8.07,5.55,5.52,2.79,5.22
11-1031.00,Legislators,Management,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",2.35,4.86,3.97,5.62,7.85,4.92,1.4,1.0,1.0,1.35,1.19,1.0,1.07,1.0,1.0,1.3,1.31,1.33,1.0,1.0,1.0,1.0,1.0,1.33,1.5,1.48,1.36,1.29,1.0,1.0
11-1031.00,Legislators,Management,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",2.69,4.4,4.2,5.65,8.32,5.57,1.0,1.0,1.46,1.0,1.0,1.0,1.48,1.0,1.0,1.0,1.0,1.0,1.0,1.29,1.0,1.0,1.0,1.0,1.05,1.0,1.12,1.0,1.0,1.0
11-1031.00,Legislators,Management,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",2.49,4.8,3.52,4.81,7.78,4.9,1.0,1.21,1.0,1.0,1.02,1.0,1.37,1.0,1.0,1.44,1.0,1.31,1.0,1.21,1.0,1.0,1.17,1.0,1.11,1.0,1.26,1.0,1.13,1.0
11-1031.00,Legislators,Management,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",2.19,4.88,3.65,5.25,7.87,4.82,1.0,1.37,1.05,1.09,1.0,1.29,1.41,1.0,1.0,1.44,1.0,1.0,1.0,1.0,1.48,1.02,1.35,1.3,1.02,1.0,1.45,1.1,1.0,1.0
11-1031.00,Legislators,Management,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",1.98,4.59,4.32,5.49,8.15,5.3,1.15,1.0,1.41,1.39,1.0,1.28,1.08,1.0,1.04,1.0,1.35,1.04,1.0,1.0,1.0,1.0,1.0,1.0,1.41,1.0,1.35,1.0,1.27,1.0
11-1031.00,Legislators,Management,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",2.07,5.16,4.19,5.19,7.43,4.68,1.0,1.0,1.05,1.3,1.0,1.0,1.0,1.0,1.0,1.09,1.0,1.34,1.0,1.0,1.0,1.0,1.0,1.37,1.15,1.0,1.09,1.0,1.0,1.0
11-1031.00,Legislators,Management,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",2.35,4.71,4.28,5.04,7.45,5.49,1.0,1.36,1.28,1.0,1.06,1.09,1.29,1.34,1.0,1.0,1.0,1.0,1.0,1.31,1.45,1.07,1.0,1.0,1.0,1.38,1.05,1.0,1.0,1.0
11-1031.00,Legislators,Management,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",2.59,4.56,4.22,4.83,8.31,4.7,1.0,1.22,1.0,1.0,1.18,1.43,1.42,1.0,1.41,1.01,1.0,1.28,1.32,1.0,1.49,1.0,1.25,1.0,1.0,1.24,1.31,1.24,1.31,1.48
11-1031.00,Legislators,Management,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",2.65,4.65,4.28,5.63,8.21,5.07,1.0,1.16,1.0,1.47,1.15,1.0,1.0,1.0,1.15,1.0,1.0,1.4,1.0,1.0,1.24,1.05,1.0,1.0,1.14,1.0,1.0,1.02,1.0,1.0
11-1031.00,Legislators,Management,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",1.87,5.18,3.85,5.18,8.25,4.69,1.0,1.0,1.0,1.0,1.0,1.0,1.36,1.0,1.46,1.31,1.49,1.0,1.43,1.0,1.0,1.0,1.06,1.25,1.0,1.4,1.0,1.2,1.17,1.0
11-2011.00,Advertising and Promotions Managers,Management,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",1.13,2.73,5.38,4.35,9.96,6.45,8.16,1.0,8.67,7.64,7.68,7.12,1.0,1.0,7.67,7.18,7.06,8.3,6.06,6.94,6.86,6.14,6.55,6.19,4.06,7.75,5.95,6.38,2.57,8.61
11-2011.00,Advertising and Promotions Managers,Management,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",1.4,1.96,5.84,4.83,9.88,5.86,8.28,1.0,8.3,7.82,7.76,7.45,1.0,1.0,8.25,6.84,7.31,8.29,5.69,6.64,6.67,5.82,6.43,6.49,4.19,7.77,5.69,5.6,2.34,8.5
11-2011.00,Advertising and Promotions Managers,Management,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",1.0,2.37,5.65,4.29,10.0,6.44,8.21,1.26,8.69,7.61,7.99,7.21,1.15,1.34,7.35,7.02,7.14,8.3,5.58,6.47,6.9,5.44,6.87,5.67,3.84,8.34,5.87,6.27,2.39,8.75
11-2011.00,Advertising and Promotions Managers,Management,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",1.51,2.31,6.02,4.1,10.0,5.86,8.1,1.0,8.65,7.41,8.41,7.68,1.09,1.0,8.09,7.37,7.09,7.6,6.35,6.81,6.68,5.69,6.42,5.93,3.91,8.34,5.35,6.11,2.6,8.52
11-2011.00,Advertising and Promotions Managers,Management,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",1.16,2.69,5.08,4.95,10.0,6.34,7.86,1.46,7.99,7.13,7.75,7.07,1.01,1.0,7.92,7.35,7.13,8.27,6.24,6.21,6.53,5.95,6.63,6.32,3.8,8.33,5.45,5.6,3.14,8.41
11-2011.00,Advertising and Promotions Managers,Management,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",1.88,2.2,5.73,4.59,10.0,6.61,7.51,1.0,8.23,7.63,8.19,7.72,1.0,1.0,7.94,6.53,7.5,8.11,6.41,6.92,6.72,5.69,6.9,6.22,3.54,7.89,6.19,5.41,2.48,8.8
11-2011.00,Advertising and Promotions Managers,Management,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",1.86,2.81,5.74,4.36,9.51,5.94,7.55,1.0,7.91,7.46,8.44,7.54,1.0,1.0,7.31,6.99,7.56,8.17,5.95,6.54,6.61,5.81,6.16,5.85,3.36,7.74,5.67,5.82,3.25,8.98
11-2011.00,Advertising and Promotions Managers,Management,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",1.33,2.41,5.67,3.99,9.82,6.21,7.87,1.19,8.23,7.57,8.35,7.53,1.0,1.3,7.3,7.02,7.68,7.73,5.78,6.24,6.01,6.25,6.39,5.73,3.4,7.79,5.6,6.37,3.23,8.65
11-2011.00,Advertising and Promotions Managers,Management,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",1.19,2.15,5.49,4.75,9.84,6.53,7.9,1.0,7.95,7.61,8.37,7.44,1.0,1.2,8.16,6.55,7.6,8.38,6.49,6.09,6.29,5.66,6.55,5.89,3.53,8.09,5.92,5.38,3.27,9.12
11-2011.00,Advertising and Promotions Managers,Management,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",1.8,2.8,5.18,4.81,10.0,5.91,8.47,1.0,7.88,7.23,8.35,7.87,1.0,1.36,7.55,7.08,7.32,7.62,5.78,6.17,6.11,6.19,6.32,5.82,4.19,7.86,5.34,6.08,3.24,8.5
11-2021.00,Marketing Managers,Management,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",1.78,4.18,3.14,4.17,9.95,7.17,7.53,1.31,8.01,8.03,8.05,6.9,1.0,1.0,7.7,7.71,6.74,7.56,6.2,6.19,6.06,5.9,6.55,6.19,6.04,7.88,4.47,6.35,2.27,7.49
11-2021.00,Marketing Managers,Management,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",1.79,3.97,3.11,4.13,10.0,6.84,8.17,1.33,7.32,8.07,7.6,6.82,1.0,1.0,7.36,7.82,7.61,8.08,6.25,6.68,6.2,6.26,6.82,5.86,5.42,7.84,4.93,6.56,2.76,7.35
11-2021.00,Marketing Managers,Management,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",1.25,4.1,3.83,3.63,10.0,6.42,8.21,1.25,7.28,7.64,7.28,6.04,1.25,1.0,7.34,7.32,7.64,8.49,6.59,6.04,5.64,5.86,6.6,5.87,5.27,8.48,5.05,6.36,2.08,7.65
11-2021.00,Marketing Managers,Management,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",1.91,4.56,3.4,4.51,10.0,6.73,8.1,1.24,7.7,7.53,8.2,6.36,1.0,1.0,7.28,7.24,7.58,7.89,5.82,6.65,6.28,5.62,6.75,6.0,5.59,8.21,5.2,6.32,2.18,7.89
11-2021.00,Marketing Managers,Management,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",1.57,3.66,3.85,4.19,10.0,6.46,8.19,1.1,8.15,7.86,7.48,6.27,1.0,1.0,7.95,7.48,7.27,7.76,5.93,6.43,6.15,5.66,6.55,6.43,5.05,8.34,5.16,6.35,2.51,7.87
11-2021.00,Marketing Managers,Management,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",1.0,4.63,3.73,4.03,9.6,7.02,8.18,1.24,7.35,7.47,7.28,6.15,1.0,1.38,7.33,7.46,7.18,8.19,6.71,6.7,6.44,5.4,7.44,6.25,5.71,8.33,4.92,5.82,2.77,7.32
11-2021.00,Marketing Managers,Management,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",1.31,4.18,3.99,4.31,9.94,6.44,7.32,1.0,7.6,7.62,7.36,6.68,1.0,1.34,7.6,7.43,7.69,8.1,6.4,6.22,5.84,6.24,6.6,6.71,5.37,7.8,5.1,5.88,2.42,7.96
11-2021.00,Marketing Managers,Management,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",1.23,4.08,3.03,4.34,10.0,6.49,7.93,1.0,8.19,7.98,7.92,6.14,1.0,1.18,7.33,7.85,7.53,8.19,6.44,6.12,6.47,6.04,7.48,6.39,5.6,8.55,4.51,5.81,2.83,7.9
11-2021.00,Marketing Managers,Management,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",1.62,4.22,3.47,3.95,10.0,6.77,7.5,1.13,7.47,7.55,7.8,6.06,1.5,1.0,7.41,7.21,7.27,8.14,6.33,6.43,6.25,6.23,7.08,6.73,5.58,7.98,4.8,5.81,2.03,8.1
